code,spots_available
14,11359.0
34,11703.0
37,1058.0
47,1265.0
50,1027.0
59,1102.0
60,88.0
72,761.0
74,2541.0
80,5899.0
85,1133.0
86,1521.0
88,32.0
90,2480.0
93,86.0
96,28.0
98,1231.0
106,3677.0
109,1401.0
114,4425.0
118,2386.0
119,1862.0
141,2258.0
147,1268.0
148,1544.0
150,4889.0
153,4747.0
158,952.0
160,3493.0
163,1495.0
164,2839.0
166,2460.0
168,782.0
171,2450.0
173,1521.0
175,920.0
177,2273.0
180,797.0
183,1168.0
184,1135.0
189,1118.0
193,7789.0
197,1384.0
200,6352.0
202,6494.0
203,2583.0
209,1242.0
213,764.0
214,1032.0
216,1478.0
221,330.0
222,2292.0
225,799.0
226,1004.0
228,4896.0
230,832.0
232,1095.0
233,860.0
243,1953.0
244,647.0
246,644.0
252,917.0
262,1306.0
263,1075.0
267,2210.0
268,8513.0
269,787.0
273,900.0
274,1528.0
275,1827.0
277,119.0
279,434.0
281,1564.0
285,1247.0
289,1707.0
293,563.0
294,1132.0
296,1589.0
297,988.0
299,1677.0
301,1987.0
302,1148.0
303,1930.0
307,8782.0
308,1255.0
310,2620.0
312,1043.0
313,623.0
317,366.0
321,3480.0
327,1565.0
331,586.0
335,689.0
339,262.0
340,661.0
342,2189.0
344,19859.0
345,2753.0
351,609.0
352,1052.0
353,1523.0
355,3636.0
356,2400.0
358,1368.0
361,4227.0
362,4111.0
363,35428.0
373,948.0
375,1252.0
376,415.0
377,1687.0
383,1597.0
384,1249.0
385,801.0
388,766.0
392,8031.0
394,7283.0
396,1136.0
397,1688.0
399,964.0
400,2012.0
402,4981.0
405,4074.0
406,1635.0
415,556.0
417,550.0
420,1866.0
431,349.0
432,485.0
437,794.0
439,3064.0
441,1815.0
448,402.0
450,545.0
451,1520.0
453,2099.0
473,473.0
479,6098.0
482,821.0
484,4938.0
489,2493.0
498,872.0
501,522.0
502,2944.0
503,4851.0
505,5199.0
512,1434.0
513,3208.0
518,22667.0
523,545.0
530,1071.0
531,1566.0
532,841.0
534,983.0
537,2005.0
542,1076.0
546,5539.0
547,1260.0
553,840.0
556,1118.0
569,1130.0
575,1869.0
579,1765.0
589,553.0
590,1238.0
597,1669.0
599,27760.0
603,2720.0
606,3005.0
610,907.0
613,1105.0
614,351.0
622,2836.0
626,1457.0
627,1180.0
629,1187.0
632,2911.0
637,5772.0
638,378.0
642,1825.0
654,990.0
664,1470.0
668,595.0
677,956.0
678,489.0
687,1862.0
703,737.0
715,2164.0
716,724.0
717,795.0
718,1383.0
736,2019.0
737,1508.0
743,706.0
744,243.0
748,2427.0
753,1421.0
755,446.0
757,1500.0
758,9686.0
762,1287.0
765,332.0
766,1023.0
770,1005.0
772,9961.0
777,2081.0
779,839.0
784,1135.0
785,1083.0
794,3956.0
796,7882.0
797,1746.0
798,796.0
809,907.0
820,1345.0
823,933.0
824,1427.0
826,2300.0
828,3238.0
840,616.0
845,1589.0
847,973.0
848,934.0
851,738.0
852,653.0
855,8626.0
858,1298.0
861,2628.0
865,2189.0
866,1019.0
867,1929.0
873,756.0
879,747.0
880,715.0
882,787.0
888,519.0
889,450.0
893,420.0
899,632.0
907,619.0
917,2287.0
928,993.0
935,3587.0
938,625.0
944,259.0
946,700.0
957,2258.0
965,269.0
971,799.0
981,160.0
983,3340.0
984,1986.0
986,420.0
988,1804.0
994,322.0
995,3750.0
1507,2025.0
1509,1285.0
1525,1632.0
1581,2799.0
1586,1417.0
1598,1202.0
1621,3997.0
1640,1319.0
1641,672.0
1652,1545.0
1655,1075.0
1658,779.0
1659,1301.0
1667,599.0
1669,707.0
1674,3013.0
1676,1073.0
1680,1241.0
1681,1153.0
1690,1262.0
1695,221.0
1696,1117.0
1699,1401.0
1700,1479.0
1701,932.0
1705,2169.0
1706,838.0
1708,2574.0
1709,1453.0
1711,992.0
1714,845.0
1719,1053.0
1721,1240.0
1723,438.0
1724,868.0
1728,1201.0
1729,403.0
1730,2364.0
1731,1447.0
1734,2505.0
1735,1627.0
1740,849.0
1742,1538.0
1771,1973.0
1773,832.0
1774,1172.0
1783,5469.0
1842,1471.0
1859,1718.0
1876,1267.0
1883,2687.0
1884,1188.0
1891,750.0
1892,1979.0
1894,1909.0
1895,1442.0
1896,984.0
1900,4182.0
1901,1643.0
1903,877.0
1904,3320.0
1911,2184.0
1916,3219.0
1924,1537.0
1926,3130.0
1930,2531.0
1931,1996.0
1940,2330.0
1942,3950.0
1945,1247.0
1948,3602.0
1949,2428.0
1950,1054.0
1952,2264.0
1954,1145.0
1955,1051.0
1959,2319.0
1960,1950.0
1961,2544.0
1963,3563.0
1966,2197.0
1969,3779.0
1970,2151.0
1978,1626.0
1979,1473.0
1980,4132.0
1982,3807.0
1991,2666.0
